week,youtube_mentions
2024-01-06 to 2024-01-13,115
2024-01-13 to 2024-01-20,81
2024-01-20 to 2024-01-27,110
2024-01-27 to 2024-02-03,70
2024-02-03 to 2024-02-10,123
2024-02-10 to 2024-02-17,100
2024-02-17 to 2024-02-24,90
2024-02-24 to 2024-03-02,88
