week,youtube_mentions
2023-07-01 to 2023-07-08,56
2023-07-08 to 2023-07-15,102
2023-07-15 to 2023-07-22,132
2023-07-22 to 2023-07-29,109
2023-07-29 to 2023-08-05,78
2023-08-05 to 2023-08-12,80
2023-08-12 to 2023-08-19,56
2023-08-19 to 2023-08-26,130
2023-08-26 to 2023-09-02,117
