week,youtube_mentions
2023-05-01 to 2023-05-08,100
2023-05-08 to 2023-05-15,119
2023-05-15 to 2023-05-22,124
2023-05-22 to 2023-05-29,35
2023-05-29 to 2023-06-05,46
2023-06-05 to 2023-06-12,90
2023-06-12 to 2023-06-19,133
2023-06-19 to 2023-06-26,160
2023-06-26 to 2023-07-03,129
