week,youtube_mentions
2023-01-01 to 2023-01-08,89
2023-01-08 to 2023-01-15,120
2023-01-15 to 2023-01-22,50
2023-01-22 to 2023-01-29,81
2023-01-29 to 2023-02-05,118
2023-02-05 to 2023-02-12,50
2023-02-12 to 2023-02-19,0
2023-02-19 to 2023-02-26,0
2023-02-26 to 2023-03-05,0
