week,youtube_mentions
2023-03-01 to 2023-03-08,90
2023-03-08 to 2023-03-15,95
2023-03-15 to 2023-03-22,109
2023-03-22 to 2023-03-29,88
2023-03-29 to 2023-04-05,108
2023-04-05 to 2023-04-12,90
2023-04-12 to 2023-04-19,76
2023-04-19 to 2023-04-26,84
2023-04-26 to 2023-05-03,102
